student_id,full_name,birthdate,age,grade_level,section,avg_quarterly_grade,final_grade,days_present,total_days,attendance_rate,tuition_fee,amount_paid,has_scholarship,has_guardian
STU-0033,Pedro Rivera,2012-05-12,13,8,A,92.0,95.0,152,200,76.0,46462.36,35451.85,False,True
STU-0034,Maria Flores,2009-10-24,16,11,D,69.6,73.9,160,200,80.0,49167.21,46376.06,False,True
STU-0035,Juan Cruz,2008-07-26,17,12,C,85.1,87.5,165,200,82.5,24338.2,22785.72,True,True
STU-0036,Liza Santos,2010-04-27,15,10,B,92.6,91.1,164,200,82.0,22802.32,20476.71,False,True
STU-0037,Jose Reyes,2011-11-17,14,9,C,77.0,81.8,184,200,92.0,26590.25,18833.35,False,True
STU-0038,Jose Cruz,2009-01-04,16,11,C,82.9,81.4,170,200,85.0,30273.79,30130.62,True,True
STU-0039,Rafael Gonzales,2012-01-23,13,8,C,78.1,78.3,184,200,92.0,39040.0,38340.36,False,True
STU-0040,Ana Flores,2010-11-11,15,10,A,83.7,85.3,157,200,78.5,40191.4,31755.09,False,True
STU-0041,Carlos Flores,2010-09-05,15,10,C,70.8,72.4,174,200,87.0,38706.13,37577.52,False,True
STU-0042,Jose Rivera,2009-05-10,16,11,A,71.3,74.2,188,200,94.0,37914.7,31829.26,False,True
STU-0043,Ana Lopez,2010-11-03,15,10,B,73.5,75.1,189,200,94.5,26731.59,25275.44,False,True
STU-0044,Diego Torres,2012-03-01,13,8,B,66.4,71.2,189,200,94.5,44740.82,32296.09,False,True
STU-0045,Diego Gonzales,2012-08-13,13,8,D,72.3,73.9,150,200,75.0,46243.09,44306.99,False,True
STU-0046,Marco Rivera,2012-12-17,13,8,B,78.9,79.5,157,200,78.5,30976.16,29130.75,False,True
STU-0047,Miguel Gonzales,2011-10-27,14,9,D,86.6,86.6,185,200,92.5,30606.98,22886.29,False,True
STU-0048,Elena Torres,2012-09-16,13,8,C,83.8,81.5,154,200,77.0,39974.07,30793.95,False,True
STU-0049,Rafael Lopez,2013-03-08,12,7,B,76.5,73.0,163,200,81.5,17248.01,14182.69,False,True
STU-0050,Carlos Santos,2012-07-25,13,8,D,82.5,84.5,186,200,93.0,28313.34,19869.42,False,True
STU-0051,Marco Rivera,2010-08-08,15,10,B,73.2,73.1,174,200,87.0,26764.53,24188.25,False,True
STU-0052,Pedro Ramos,2012-07-19,13,8,A,81.9,77.2,191,200,95.5,30001.45,28803.05,False,True
STU-0053,Jose Rivera,2011-08-11,14,9,B,75.1,78.9,167,200,83.5,41320.34,39236.86,False,True
STU-0054,Maria Ramos,2013-06-08,12,7,A,84.5,87.3,191,200,95.5,16409.03,11639.07,False,True
STU-0055,Liza Santos,2009-04-05,16,11,B,79.2,75.3,163,200,81.5,31276.19,24297.63,False,True
STU-0056,Sofia Gonzales,2008-03-10,17,12,A,68.2,63.5,169,200,84.5,35152.89,34182.95,False,True
STU-0057,Isabella Garcia,2013-02-23,12,7,B,88.2,91.7,188,200,94.0,43193.48,40552.98,False,True
STU-0058,Juan Flores,2009-11-12,16,11,D,67.1,68.6,150,200,75.0,44735.15,42350.73,True,True
STU-0059,Rosa Dela Cruz,2010-07-06,15,10,B,87.0,91.7,167,200,83.5,36556.93,35675.37,False,True
STU-0060,Elena Rivera,2008-06-28,17,12,C,72.4,76.7,167,200,83.5,45857.09,35454.82,False,True
STU-0061,Sofia Dela Cruz,2010-01-16,15,10,C,90.5,87.3,163,200,81.5,27418.87,21318.33,False,True
STU-0062,Sofia Villanueva,2011-09-07,14,9,A,67.6,69.8,181,200,90.5,34431.17,26584.21,False,True
STU-0063,Isabella Ramos,2010-02-10,15,10,A,71.6,73.5,169,200,84.5,38238.6,31000.27,False,True
STU-0064,Rosa Rivera,2008-06-23,17,12,C,78.6,76.7,164,200,82.0,19222.96,14566.68,True,True
STU-0065,Miguel Mendoza,2008-04-07,17,12,B,87.2,85.0,187,200,93.5,49181.25,42167.56,False,True
STU-0066,Maria Garcia,2011-06-06,14,9,B,74.1,76.2,158,200,79.0,24600.9,24411.19,False,True
STU-0067,Isabella Cruz,2008-02-28,17,12,D,65.4,63.2,180,200,90.0,30416.41,22973.79,True,True
STU-0068,Liza Ramos,2013-07-16,12,7,A,67.2,68.5,153,200,76.5,20310.45,19159.71,False,True
STU-0069,Maria Garcia,2013-10-20,12,7,D,88.7,86.0,183,200,91.5,28313.23,27536.07,False,True
STU-0070,Sofia Rivera,2011-10-24,14,9,A,68.0,70.6,190,200,95.0,22385.88,20105.4,False,True
STU-0071,Pedro Lopez,2013-01-14,12,7,B,78.5,79.4,168,200,84.0,16142.39,12694.88,False,True
STU-0072,Liza Ramos,2013-05-26,12,7,B,88.7,89.6,162,200,81.0,29879.86,25797.34,False,True
STU-0073,Rafael Torres,2012-01-06,13,8,A,88.8,89.8,186,200,93.0,47241.74,39293.13,False,True
STU-0074,Jose Villanueva,2010-09-18,15,10,C,79.8,75.6,152,200,76.0,46129.8,42456.03,False,True
STU-0075,Juan Reyes,2012-11-27,13,8,A,73.1,68.5,161,200,80.5,31467.53,28177.69,False,True
STU-0076,Pedro Gonzales,2010-02-16,15,10,D,75.4,73.7,192,200,96.0,18661.0,13963.05,False,True
STU-0077,Elena Torres,2008-09-02,17,12,D,78.6,76.7,170,200,85.0,19057.26,17756.88,False,True
STU-0078,Liza Santos,2008-07-02,17,12,D,70.6,69.2,181,200,90.5,36889.31,34233.17,False,True
STU-0079,Miguel Cruz,2011-12-16,14,9,D,68.6,73.3,188,200,94.0,42975.98,39234.27,False,True
STU-0080,Juan Lopez,2010-04-27,15,10,A,92.4,92.0,157,200,78.5,37669.84,28108.91,False,True
STU-0081,Jose Lopez,2008-07-27,17,12,C,79.5,79.2,179,200,89.5,34294.28,27952.44,False,True
STU-0082,Miguel Villanueva,2012-05-25,13,8,A,88.7,87.8,182,200,91.0,24351.04,17064.47,False,True
STU-0083,Liza Gonzales,2009-03-15,16,11,D,81.2,79.7,185,200,92.5,41700.54,33909.34,False,True
STU-0084,Liza Garcia,2008-10-13,17,12,B,72.0,74.8,152,200,76.0,26136.17,22003.86,False,True
STU-0085,Carlos Rivera,2008-08-02,17,12,B,68.8,73.5,171,200,85.5,45439.51,43724.49,False,True
STU-0086,Miguel Ramos,2013-07-28,12,7,B,84.6,81.1,180,200,90.0,42353.39,33014.76,False,True
STU-0087,Carlos Dela Cruz,2013-11-28,12,7,C,81.0,85.5,190,200,95.0,40155.11,37256.74,False,True
STU-0088,Juan Gonzales,2013-11-22,12,7,B,92.6,97.6,155,200,77.5,30189.0,22023.87,False,True
STU-0089,Liza Reyes,2010-12-10,15,10,B,92.1,87.6,153,200,76.5,25267.87,20528.94,True,True
STU-0090,Miguel Rivera,2009-03-06,16,11,B,67.4,71.1,189,200,94.5,38909.71,33046.02,False,True
STU-0091,Ana Ramos,2008-08-09,17,12,C,85.0,89.0,179,200,89.5,46542.33,42040.91,False,True
STU-0092,Elena Flores,2009-11-14,16,11,C,85.7,85.3,169,200,84.5,21972.59,17916.63,False,True
STU-0093,Ana Rivera,2009-10-10,16,11,C,94.8,92.8,192,200,96.0,28853.2,20267.34,False,True
STU-0094,Marco Villanueva,2013-05-25,12,7,D,89.0,90.1,172,200,86.0,22665.16,17158.42,False,True
STU-0095,Marco Villanueva,2008-11-04,17,12,B,92.1,93.6,169,200,84.5,42601.37,30247.37,False,True
STU-0096,Pedro Reyes,2011-12-14,14,9,C,70.3,66.6,184,200,92.0,45676.12,36986.57,False,True
STU-0097,Jose Cruz,2011-05-24,14,9,D,91.1,94.1,179,200,89.5,48701.27,36147.4,False,True
STU-0098,Liza Dela Cruz,2008-09-12,17,12,D,67.7,66.6,166,200,83.0,33780.03,28254.83,False,True
STU-0099,Diego Torres,2009-11-12,16,11,D,68.3,65.6,151,200,75.5,36684.14,36058.7,False,True
STU-0100,Sofia Garcia,2008-11-27,17,12,A,78.9,80.9,191,200,95.5,29290.35,21731.48,False,True
STU-0101,Jose Ramos,2013-04-18,12,7,A,69.1,68.6,192,200,96.0,48228.33,43836.91,False,True
STU-0102,Sofia Villanueva,2008-07-21,17,12,B,68.0,67.9,176,200,88.0,47866.86,37523.89,False,True
STU-0103,Ana Ramos,2010-06-04,15,10,B,94.4,93.1,191,200,95.5,27553.58,22578.56,False,True
STU-0104,Maria Ramos,2013-11-21,12,7,B,82.9,78.1,171,200,85.5,23524.91,17356.14,False,True
STU-0105,Maria Mendoza,2009-10-07,16,11,B,89.4,86.7,159,200,79.5,42602.53,37438.87,False,True
STU-0106,Pedro Cruz,2009-03-04,16,11,C,84.8,80.1,150,200,75.0,27538.48,25790.6,False,True
STU-0107,Juan Cruz,2011-03-24,14,9,A,77.6,73.7,154,200,77.0,31668.61,29559.64,False,True
STU-0108,Maria Ramos,2009-10-02,16,11,B,86.8,90.9,192,200,96.0,33250.79,27844.64,False,True
STU-0109,Juan Ramos,2010-11-04,15,10,D,79.7,83.8,154,200,77.0,46474.34,37023.02,True,True
STU-0110,Pedro Torres,2009-07-20,16,11,C,80.9,80.4,188,200,94.0,30056.98,28191.31,True,True
STU-0111,Diego Dela Cruz,2009-07-15,16,11,B,91.6,90.7,179,200,89.5,28955.56,26606.79,False,True
STU-0112,Rosa Dela Cruz,2011-03-22,14,9,C,92.7,88.4,155,200,77.5,18263.05,13313.2,False,True
STU-0113,Marco Cruz,2009-10-18,16,11,A,81.9,83.6,176,200,88.0,27375.93,24627.45,False,True
STU-0114,Liza Villanueva,2013-10-10,12,7,C,75.5,76.3,163,200,81.5,20415.56,17244.14,False,True
STU-0115,Rosa Lopez,2011-05-19,14,9,A,71.8,71.1,185,200,92.5,49109.13,46434.06,False,True
STU-0116,Diego Lopez,2013-01-06,12,7,C,73.2,75.8,171,200,85.5,27285.82,20585.01,True,True
STU-0117,Diego Rivera,2013-12-21,12,7,B,94.2,90.1,183,200,91.5,22529.65,18608.36,False,True
STU-0118,Rosa Torres,2008-10-20,17,12,C,67.5,63.0,160,200,80.0,41405.26,29601.81,True,True
STU-0119,Elena Dela Cruz,2010-10-15,15,10,D,77.4,74.6,182,200,91.0,18983.61,15736.92,False,True
STU-0120,Diego Gonzales,2010-01-08,15,10,C,76.9,77.9,150,200,75.0,22154.81,21791.41,False,True
STU-0121,Marco Torres,2011-02-01,14,9,C,79.9,79.2,158,200,79.0,28307.26,25790.78,False,True
STU-0122,Liza Dela Cruz,2011-07-28,14,9,A,87.3,86.7,179,200,89.5,47240.69,45286.48,False,True
STU-0123,Sofia Rivera,2008-05-04,17,12,D,77.2,81.9,160,200,80.0,43046.28,38114.79,False,True
STU-0124,Rafael Flores,2013-02-08,12,7,D,78.1,77.1,155,200,77.5,28851.83,22881.88,False,True
STU-0125,Rosa Mendoza,2012-09-21,13,8,A,68.4,68.5,172,200,86.0,27288.49,26946.48,False,True
STU-0126,Pedro Garcia,2013-05-07,12,7,B,70.2,66.7,191,200,95.5,17637.36,17379.64,False,True
STU-0127,Elena Mendoza,2009-11-19,16,11,D,84.3,89.2,170,200,85.0,45248.64,40188.27,False,True
STU-0128,Maria Ramos,2010-05-19,15,10,C,66.7,66.8,169,200,84.5,31160.99,22164.26,False,True
STU-0129,Jose Reyes,2008-10-20,17,12,A,80.2,79.8,185,200,92.5,48398.1,44607.38,True,True
STU-0130,Rafael Mendoza,2009-06-20,16,11,B,79.3,75.8,153,200,76.5,30768.31,29023.44,False,True
STU-0131,Isabella Reyes,2009-01-08,16,11,B,86.2,91.1,183,200,91.5,33296.18,24893.02,False,True
STU-0132,Jose Rivera,2010-11-20,15,10,C,66.6,67.9,171,200,85.5,17306.91,12605.52,False,True
STU-0133,Jose Torres,2008-06-03,17,12,B,82.5,78.9,172,200,86.0,25858.11,23189.98,False,True
STU-0134,Pedro Gonzales,2008-05-18,17,12,A,76.3,79.2,158,200,79.0,38454.07,36480.9,False,True
STU-0135,Diego Lopez,2013-09-12,12,7,D,65.5,63.6,163,200,81.5,26960.63,25069.26,False,True
STU-0136,Pedro Cruz,2013-02-17,12,7,C,88.1,91.5,183,200,91.5,16321.16,13073.73,False,True
STU-0137,Pedro Gonzales,2010-03-06,15,10,B,89.9,92.6,160,200,80.0,40241.4,28696.45,False,True
STU-0138,Isabella Garcia,2010-12-26,15,10,C,78.5,78.8,169,200,84.5,48795.88,45639.33,False,True
STU-0139,Ana Flores,2008-08-25,17,12,D,73.5,72.3,183,200,91.5,29653.13,22198.85,False,True
STU-0140,Sofia Cruz,2011-11-16,14,9,A,91.2,91.7,156,200,78.0,39899.03,34104.61,True,True
STU-0141,Maria Mendoza,2012-08-17,13,8,C,69.4,68.8,164,200,82.0,43584.61,42076.1,False,True
STU-0142,Carlos Santos,2010-04-13,15,10,C,94.8,93.5,151,200,75.5,26153.97,19085.2,False,True
STU-0143,Rosa Mendoza,2012-01-10,13,8,B,92.5,92.2,158,200,79.0,41559.44,34940.39,False,True
STU-0144,Rafael Reyes,2013-04-27,12,7,C,69.5,73.9,188,200,94.0,33472.0,24546.89,False,True
STU-0145,Jose Reyes,2013-07-21,12,7,B,88.8,88.4,157,200,78.5,44284.07,37639.19,False,True
STU-0146,Diego Lopez,2009-12-05,16,11,B,73.7,68.7,172,200,86.0,23419.75,19320.6,False,True
STU-0147,Maria Lopez,2011-09-18,14,9,A,80.2,85.1,185,200,92.5,15711.7,15114.65,True,True
STU-0148,Carlos Flores,2011-06-26,14,9,A,67.0,64.4,192,200,96.0,36988.99,34453.41,False,True
STU-0149,Rosa Cruz,2013-09-11,12,7,C,89.4,86.2,193,200,96.5,31261.8,28405.0,False,True
STU-0150,Marco Cruz,2013-01-10,12,7,D,71.0,73.9,152,200,76.0,26045.85,20654.95,False,True
STU-0151,Liza Lopez,2010-01-25,15,10,C,84.4,82.3,153,200,76.5,45302.94,36223.21,True,True
STU-0152,Rosa Rivera,2010-07-11,15,10,D,94.2,94.2,181,200,90.5,27857.14,26163.07,False,True
STU-0153,Maria Villanueva,2010-07-20,15,10,A,94.9,91.7,168,200,84.0,26242.4,19000.04,False,True
STU-0154,Jose Ramos,2009-03-23,16,11,D,78.3,77.8,196,200,98.0,45451.3,36623.19,False,True
STU-0155,Jose Dela Cruz,2013-11-21,12,7,A,77.2,77.3,193,200,96.5,20599.54,14612.12,False,True
STU-0156,Diego Mendoza,2010-03-03,15,10,A,72.1,73.6,173,200,86.5,28399.9,24712.84,False,True
STU-0157,Diego Ramos,2011-08-25,14,9,C,67.3,63.7,173,200,86.5,28931.19,25889.6,False,True
STU-0158,Maria Santos,2008-08-17,17,12,B,76.6,77.2,166,200,83.0,42123.76,38383.65,False,True
STU-0159,Sofia Torres,2008-04-04,17,12,D,69.1,64.8,161,200,80.5,46453.77,38720.77,True,True
STU-0160,Diego Flores,2008-12-03,17,12,C,81.5,79.4,169,200,84.5,44797.67,40924.59,False,True
STU-0161,Diego Cruz,2011-02-07,14,9,B,88.8,86.2,181,200,90.5,15919.94,13789.95,False,True
STU-0162,Marco Lopez,2012-02-10,13,8,A,76.9,79.1,180,200,90.0,33399.35,31086.42,False,True
STU-0163,Maria Cruz,2011-08-15,14,9,A,85.4,83.8,185,200,92.5,37392.79,28216.19,False,True
STU-0164,Carlos Lopez,2013-09-05,12,7,A,74.1,70.7,195,200,97.5,22891.46,22530.8,False,True
STU-0165,Jose Reyes,2011-11-18,14,9,B,73.2,74.5,189,200,94.5,33671.73,28646.96,False,True
STU-0166,Sofia Cruz,2012-10-02,13,8,C,89.8,85.1,152,200,76.0,48199.14,44888.18,False,True
STU-0167,Ana Mendoza,2009-10-21,16,11,D,65.9,69.8,184,200,92.0,25138.51,24811.58,False,True
STU-0168,Marco Mendoza,2008-05-15,17,12,D,67.2,62.8,178,200,89.0,29546.76,24799.56,False,True
STU-0169,Pedro Flores,2008-12-28,17,12,C,75.4,74.4,173,200,86.5,33024.3,24169.01,False,True
STU-0170,Maria Torres,2010-03-04,15,10,B,66.5,71.0,189,200,94.5,29634.72,29302.98,False,True
STU-0171,Liza Flores,2009-04-25,16,11,C,69.8,74.8,179,200,89.5,32456.59,25723.86,True,True
STU-0172,Carlos Lopez,2010-04-19,15,10,B,75.6,71.1,181,200,90.5,35913.16,34220.03,False,True
STU-0173,Jose Lopez,2013-07-05,12,7,A,91.5,93.8,175,200,87.5,27807.81,22807.26,False,True
STU-0174,Ana Flores,2009-02-13,16,11,C,80.1,82.7,167,200,83.5,43885.9,38925.59,False,True
STU-0175,Pedro Reyes,2010-06-18,15,10,C,93.2,95.7,162,200,81.0,36086.2,29605.7,True,True
STU-0176,Juan Cruz,2008-08-17,17,12,C,78.7,79.8,182,200,91.0,19892.33,19482.76,False,True
STU-0177,Carlos Gonzales,2008-10-11,17,12,C,80.2,80.3,181,200,90.5,39805.89,31444.15,False,True
STU-0178,Rosa Flores,2008-07-19,17,12,A,74.2,78.2,194,200,97.0,37024.12,32546.9,False,True
STU-0179,Diego Mendoza,2009-12-02,16,11,B,82.5,79.2,190,200,95.0,40241.4,37520.35,False,True
STU-0180,Juan Cruz,2008-07-26,13,8,A,68.3,63.5,170,200,85.0,29657.31,24434.3,False,True
STU-0181,Miguel Mendoza,1995-06-15,30,11,D,66.9,63.3,163,200,81.5,34631.04,34611.54,False,True
STU-0182,Carlos Flores,2012-09-11,13,8,D,64.9,92.2,196,200,98.0,38826.11,36539.09,False,True
STU-0183,Elena Garcia,2012-09-10,13,8,C,0.0,0.0,200,200,100.0,41991.1,38273.64,False,True
STU-0184,Elena Flores,2010-09-26,15,10,C,0.0,0.0,200,200,100.0,38681.78,31483.42,False,True
STU-0185,Liza Flores,2012-01-10,13,8,C,0.0,0.0,0,200,0.0,37959.02,35081.79,False,False
STU-0186,Liza Lopez,1990-06-15,35,9,C,83.5,84.4,165,200,82.5,16776.79,16299.58,False,True
STU-0187,Miguel Rivera,2009-03-06,12,7,D,79.2,81.0,158,200,79.0,15181.35,13133.47,False,True
STU-0188,Carlos Dela Cruz,2010-11-07,15,10,D,0.0,0.0,0,200,0.0,37606.43,36567.78,True,False
STU-0189,Isabella Garcia,2010-12-26,16,11,A,91.5,88.3,152,200,76.0,49901.01,40873.84,False,True
STU-0190,Rafael Villanueva,2011-01-10,14,9,A,0.0,0.0,200,200,100.0,24959.66,24878.04,False,True
STU-0191,Elena Cruz,2009-05-07,16,11,D,89.3,87.6,196,200,98.0,31062.01,0.0,False,True
STU-0192,Juan Flores,2009-11-12,14,9,B,90.7,94.7,177,200,88.5,33034.82,23983.98,False,True
STU-0193,Pedro Cruz,2010-04-01,15,10,C,0.0,0.0,0,200,0.0,48391.22,38257.31,False,False
STU-0194,Juan Torres,2008-12-08,17,12,C,0.0,0.0,0,200,0.0,20590.09,18650.96,False,False
STU-0195,Rafael Villanueva,2011-11-10,14,9,A,56.9,95.9,158,200,79.0,31736.37,26547.27,False,True
STU-0196,Rosa Rivera,2008-09-26,17,12,D,0.0,0.0,200,200,100.0,38811.97,34105.8,False,True
STU-0197,Miguel Ramos,2009-02-19,16,11,C,68.4,71.7,182,200,91.0,22075.49,0.0,False,True
STU-0198,Liza Lopez,2010-11-07,15,10,A,0.0,0.0,200,200,100.0,30591.89,21924.92,True,True
STU-0199,Rosa Rivera,2008-06-23,16,11,A,85.2,83.3,151,200,75.5,28858.2,27269.15,False,True
STU-0200,Sofia Reyes,2013-06-23,12,7,D,0.0,0.0,200,200,100.0,49514.8,41672.71,False,True
