order_id,customer_id,customer_name,product_id,product_name,category,quantity,unit_price,total_amount,order_date,shipping_date,delivery_date,payment_method,shipping_address,city,state,country,postal_code,customer_segment,order_status,discount_percent,shipping_cost,return_status
ORD034,CUST132,Jason Roberts,PROD234,Bluetooth Speaker,Electronics,1,79.99,79.99,2024-02-17,2024-02-18,2024-02-23,Credit Card,386 Rosewood Dr,Tucson,AZ,USA,85701,Regular,Delivered,8,11.00,No
ORD035,CUST133,Sandra Turner,PROD235,Whiteboard,Furniture,1,89.99,89.99,2024-02-18,2024-02-19,2024-02-24,Debit Card,497 Ashwood Ln,Fresno,CA,USA,93701,Regular,Delivered,5,15.00,No
ORD036,CUST134,Ryan Phillips,PROD236,Envelope Pack,Stationery,10,4.99,49.90,2024-02-19,2024-02-20,2024-02-25,PayPal,518 Willowbrook Ct,Sacramento,CA,USA,95814,Regular,Delivered,0,7.00,No
ORD037,CUST135,Donna Campbell,PROD237,Graphics Tablet,Electronics,1,199.99,199.99,2024-02-20,2024-02-21,2024-02-26,Credit Card,629 Maplecrest Way,Long Beach,CA,USA,90801,Premium,Delivered,10,16.00,No
ORD038,CUST136,Gary Parker,PROD238,Executive Desk,Furniture,1,699.99,699.99,2024-02-21,2024-02-22,2024-02-28,Credit Card,731 Oakridge Pl,Kansas City,MO,USA,64101,Premium,Delivered,15,40.00,No
ORD039,CUST137,Carol Evans,PROD239,Tape Dispenser,Stationery,5,5.99,29.95,2024-02-22,2024-02-23,2024-02-27,PayPal,842 Cedarbrook Blvd,Mesa,AZ,USA,85201,Regular,Delivered,0,6.00,No
ORD040,CUST138,Frank Edwards,PROD240,Laptop Stand,Electronics,1,49.99,49.99,2024-02-23,2024-02-24,2024-02-29,Debit Card,953 Birchbrook St,Atlanta,GA,USA,30301,Regular,Delivered,5,9.00,No
ORD041,CUST139,Ruth Collins,PROD241,Lounge Chair,Furniture,1,349.99,349.99,2024-02-24,2024-02-25,2024-03-02,Credit Card,174 Elmcrest Ave,Virginia Beach,VA,USA,23450,Premium,Delivered,12,30.00,No
ORD042,CUST140,Raymond Stewart,PROD242,Correction Tape,Stationery,8,3.49,27.92,2024-02-25,2024-02-26,2024-03-01,PayPal,285 Pinecrest Rd,Omaha,NE,USA,68101,Regular,Delivered,0,6.00,No
ORD043,CUST103,Michael Brown,PROD243,Power Bank,Electronics,2,39.99,79.98,2024-02-26,2024-02-27,2024-03-03,Credit Card,789 Pine Rd,Chicago,IL,USA,60601,Premium,Delivered,8,10.00,No
ORD044,CUST141,Janet Morris,PROD244,Side Table,Furniture,1,79.99,79.99,2024-02-27,2024-02-28,2024-03-04,Debit Card,396 Oakmont Dr,Oakland,CA,USA,94601,Regular,Delivered,5,12.00,No
ORD045,CUST142,Jerry Rogers,PROD245,Scissors,Stationery,6,7.99,47.94,2024-02-28,2024-02-29,2024-03-05,PayPal,417 Cedarmont Ln,Miami,FL,USA,33101,Regular,Delivered,0,8.00,No
ORD046,CUST143,Deborah Reed,PROD246,Wireless Charger,Electronics,1,34.99,34.99,2024-02-29,2024-03-01,2024-03-06,Credit Card,528 Maplegrove Ct,Tulsa,OK,USA,74101,Regular,Delivered,5,8.00,No
ORD047,CUST144,Dennis Cook,PROD247,Coat Rack,Furniture,1,59.99,59.99,2024-03-01,2024-03-02,2024-03-07,Credit Card,639 Birchgrove Way,Minneapolis,MN,USA,55401,Regular,Delivered,8,11.00,No
ORD048,CUST145,Angela Morgan,PROD248,Label Maker,Stationery,2,24.99,49.98,2024-03-02,2024-03-03,2024-03-08,PayPal,741 Elmgrove Pl,Wichita,KS,USA,67201,Regular,Delivered,0,9.00,No
ORD049,CUST146,Harold Bell,PROD249,Gaming Mouse,Electronics,1,59.99,59.99,2024-03-03,2024-03-04,2024-03-09,Debit Card,852 Pinegrove Blvd,Arlington,TX,USA,76010,Regular,Delivered,10,10.00,No
ORD050,CUST147,Shirley Murphy,PROD250,Bean Bag Chair,Furniture,1,129.99,129.99,2024-03-04,2024-03-05,2024-03-10,Credit Card,963 Oakvalley St,New Orleans,LA,USA,70112,Premium,Delivered,12,18.00,Yes
