EmployeeID,FirstName,LastName,Department,Salary,JoiningDate,Age,PerformanceScore,City
1062,Daniel,Johnson,Sales,51751,2018-07-19,24,2,Muntinlupa
1063,Joshua,Johnson,Operations,114339,2017-02-01,28,2,Navotas
1064,Michael,Miller,Sales,141095,2019-06-27,32,3,Quezon
1065,Michael,Gonzalez,Marketing,62808,2022-03-24,35,1,Navotas
1066,Daniel,Wilson,Finance,83372,2017-08-02,44,1,Taguig
1067,Jessica,Martinez,Operations,121581,2016-11-06,30,5,Muntinlupa
1068,Lisa,Anderson,Marketing,62419,2023-02-15,48,4,Navotas
1069,Emily,Taylor,Engineering,79173,2018-05-17,34,3,Makati
1070,David,Johnson,HR,58008,2023-07-25,53,5,Manila
1071,Lisa,Jones,HR,44552,2015-03-13,51,1,Taguig
1072,Joshua,Martinez,Sales,128634,2020-11-13,53,2,Manila
1073,Linda,Martinez,Operations,42039,2019-06-12,22,5,Pasig
1074,Jennifer,Johnson,Marketing,86654,2023-09-19,33,5,Quezon
1075,Jane,Martin,Engineering,41624,2023-02-07,54,5,Taguig
1076,Ashley,Williams,HR,57136,2019-04-14,60,1,Quezon
1077,Jessica,Rodriguez,Operations,138107,2022-12-02,60,5,Makati
1078,Christopher,Gonzalez,Finance,76116,2022-12-12,48,5,Navotas
1079,Linda,Rodriguez,Operations,107008,2016-12-04,44,3,Mandaluyong
1080,Ashley,Williams,HR,119684,2019-04-15,33,5,Manila
1081,Elizabeth,Williams,Operations,86110,2017-02-19,48,3,Mandaluyong
1082,Daniel,Smith,Operations,79184,2022-09-28,57,1,Pasig
1083,Jane,Davis,Operations,113966,2017-02-10,57,2,Mandaluyong
1084,James,Taylor,Finance,81936,2018-11-19,59,4,Makati
1085,Robert,Thomas,IT,54977,2020-02-05,53,1,Makati
1086,David,Taylor,Marketing,79312,2023-08-11,44,2,Pasig
1087,Jane,Brown,Finance,75519,2016-08-02,22,4,Makati
1088,Matthew,Davis,Marketing,143118,2021-01-09,59,4,Makati
1089,Sarah,Johnson,Finance,79490,2021-06-09,23,5,Navotas
1090,Robert,Taylor,IT,60877,2016-01-05,25,5,Manila
1091,John,Martinez,HR,92946,2017-10-29,29,2,Mandaluyong
1092,Lisa,Williams,Finance,116521,2022-01-20,35,2,Quezon
1093,Jessica,Martinez,Engineering,48205,2018-07-17,39,2,Muntinlupa
1094,Linda,Moore,Finance,144761,2018-02-08,36,5,Mandaluyong
1095,John,Miller,Operations,58278,2019-04-10,38,2,Taguig
1096,Michael,Garcia,Finance,121210,2018-05-13,37,3,Quezon
1097,Mary,Gonzalez,Finance,143061,2016-03-30,51,1,Pasig
1098,Linda,Davis,Marketing,81411,2017-11-14,51,2,Muntinlupa
1099,Ashley,Smith,Marketing,47265,2017-07-24,38,4,Pasig
1100,Christopher,Rodriguez,Finance,44880,2023-02-12,36,1,Mandaluyong
