Name,Email,Financial Status,Fulfillment Status,Total,Subtotal,Shipping,Discount Amount,Created at,Billing City,Billing Province,Billing Country,Shipping City,Shipping Province,Shipping Country,Payment Method,Lineitem quantity,Lineitem price,z_score,Fraud_Flag_ZScore,Fraud_Flag_IQR,Order_Count,Fraud_Flag_Frequency,Address_Mismatch,Order_Hour,Fraud_Flag_Time,Discount_Pct,Fraud_Flag_Discount
#1011,suspicious.buyer99@proton.me,paid,unfulfilled,15200,14500,700,0,1/6/2026 1:30,Makati,Metro Manila,PH,Davao City,Davao del Sur,PH,Credit Card,8,1812.5,1.02004887,OK,OK,4,FREQUENT,MISMATCH,1,ODD_HOUR,0,OK
#1012,elena.aquino@gmail.com,paid,fulfilled,650,550,100,0,1/7/2026 9:20,Antipolo,Rizal,PH,Antipolo,Rizal,PH,GCash,1,550,-0.62468074,OK,OK,1,OK,MATCH,9,OK,0,OK
#1013,david.tan@yahoo.com,paid,fulfilled,2200,2000,200,0,1/7/2026 12:35,Pasig,Metro Manila,PH,Pasig,Metro Manila,PH,Credit Card,3,666.67,-0.449468995,OK,OK,1,OK,MATCH,12,OK,0,OK
#1014,fakeemail001@tempmail.com,paid,unfulfilled,19800,19000,800,0,1/7/2026 2:48,Mandaluyong,Metro Manila,PH,Tagum,Davao del Norte,PH,Credit Card,11,1727.27,1.540032114,OK,OK,6,FREQUENT,MISMATCH,2,ODD_HOUR,0,OK
#1015,grace.lim@gmail.com,paid,fulfilled,900,780,120,0,1/8/2026 14:55,Caloocan,Metro Manila,PH,Caloocan,Metro Manila,PH,GCash,1,780,-0.596420781,OK,OK,1,OK,MATCH,14,OK,0,OK
#1016,ramon.bautista@outlook.com,paid,fulfilled,1350,1200,150,0,1/8/2026 10:10,Paranaque,Metro Manila,PH,Paranaque,Metro Manila,PH,Credit Card,2,600,-0.545552855,OK,OK,1,OK,MATCH,10,OK,0,OK
#1017,jenny.lee@gmail.com,paid,fulfilled,780,680,100,0,1/9/2026 11:40,Lapu-Lapu,Cebu,PH,Lapu-Lapu,Cebu,PH,PayPal,1,680,-0.609985562,OK,OK,1,OK,MATCH,11,OK,0,OK
#1018,suspicious.buyer99@proton.me,paid,unfulfilled,16500,15800,700,0,1/9/2026 3:22,Pasay,Metro Manila,PH,Iligan,Lanao del Norte,PH,Credit Card,9,1755.56,1.167000656,OK,OK,4,FREQUENT,MISMATCH,3,ODD_HOUR,0,OK
#1019,miguel.soriano@gmail.com,paid,fulfilled,1050,900,150,0,1/10/2026 8:30,Mandaue,Cebu,PH,Mandaue,Cebu,PH,GCash,1,900,-0.579464806,OK,OK,1,OK,MATCH,8,OK,0,OK
#1020,test.buyer777@mail.com,paid,unfulfilled,25000,24200,800,0,1/10/2026 4:10,San Juan,Metro Manila,PH,Cotabato City,Maguindanao,PH,Credit Card,15,1613.33,2.12783926,SUSPICIOUS,OK,3,OK,MISMATCH,4,ODD_HOUR,0,OK
#1021,sophia.navarro@yahoo.com,paid,fulfilled,1600,1400,200,0,1/11/2026 13:25,Valenzuela,Metro Manila,PH,Valenzuela,Metro Manila,PH,Credit Card,2,700,-0.517292896,OK,OK,1,OK,MATCH,13,OK,0,OK
#1022,robert.delos.santos@gmail.com,paid,fulfilled,920,800,120,0,1/11/2026 9:50,Las Pinas,Metro Manila,PH,Las Pinas,Metro Manila,PH,GCash,1,800,-0.594159985,OK,OK,1,OK,MATCH,9,OK,0,OK
#1023,fakeemail001@tempmail.com,paid,unfulfilled,21000,20200,800,0,1/11/2026 1:55,Marikina,Metro Manila,PH,Zamboanga City,Zamboanga del Sur,PH,Credit Card,13,1553.85,1.675679917,OK,OK,6,FREQUENT,MISMATCH,1,ODD_HOUR,0,OK
#1024,carmen.rivera@gmail.com,paid,fulfilled,1450,1300,150,0,1/12/2026 10:15,Muntinlupa,Metro Manila,PH,Muntinlupa,Metro Manila,PH,PayPal,2,650,-0.534248872,OK,OK,1,OK,MATCH,10,OK,0,OK
#1025,discount.hunter@fakemail.net,paid,fulfilled,350,1200,150,1000,1/12/2026 16:30,Quezon City,Metro Manila,PH,Quezon City,Metro Manila,PH,Credit Card,2,600,-0.658592691,OK,OK,4,FREQUENT,MATCH,16,OK,0.833333333,HIGH_DISCOUNT
#1026,paolo.santos@outlook.com,paid,fulfilled,1150,1000,150,0,1/13/2026 11:05,Malabon,Metro Manila,PH,Malabon,Metro Manila,PH,Credit Card,1,1000,-0.568160822,OK,OK,1,OK,MATCH,11,OK,0,OK
#1027,nina.castro@gmail.com,paid,fulfilled,850,750,100,0,1/13/2026 14:40,Navotas,Metro Manila,PH,Navotas,Metro Manila,PH,GCash,1,750,-0.602072773,OK,OK,1,OK,MATCH,14,OK,0,OK
#1028,suspicious.buyer99@proton.me,paid,unfulfilled,17800,17000,800,0,1/13/2026 2:05,Taguig,Metro Manila,PH,Butuan,Agusan del Norte,PH,Credit Card,10,1700,1.313952443,OK,OK,4,FREQUENT,MISMATCH,2,ODD_HOUR,0,OK
#1029,discount.hunter@fakemail.net,paid,fulfilled,200,1500,100,1400,1/14/2026 12:20,Manila,Metro Manila,PH,Manila,Metro Manila,PH,Credit Card,3,500,-0.675548666,OK,OK,4,FREQUENT,MATCH,12,OK,0.933333333,HIGH_DISCOUNT
#1030,rico.gonzales@yahoo.com,paid,fulfilled,1300,1150,150,0,1/14/2026 9:35,San Fernando,Pampanga,PH,San Fernando,Pampanga,PH,Credit Card,2,575,-0.551204847,OK,OK,1,OK,MATCH,9,OK,0,OK
#1031,andrea.lopez@gmail.com,paid,fulfilled,700,600,100,0,1/15/2026 15:50,Angeles,Pampanga,PH,Angeles,Pampanga,PH,GCash,1,600,-0.619028749,OK,OK,1,OK,MATCH,15,OK,0,OK
#1032,test.buyer777@mail.com,paid,unfulfilled,23500,22800,700,0,1/15/2026 3:40,Makati,Metro Manila,PH,Pagadian,Zamboanga del Sur,PH,Credit Card,14,1628.57,1.958279506,OK,OK,3,OK,MISMATCH,3,ODD_HOUR,0,OK
#1033,diana.reyes@outlook.com,paid,fulfilled,980,850,130,0,1/16/2026 10:55,Baguio,Benguet,PH,Baguio,Benguet,PH,PayPal,1,850,-0.587377594,OK,OK,1,OK,MATCH,10,OK,0,OK
#1034,jose.hernandez@gmail.com,paid,fulfilled,1750,1550,200,0,1/16/2026 13:15,Olongapo,Zambales,PH,Olongapo,Zambales,PH,Credit Card,2,775,-0.500336921,OK,OK,1,OK,MATCH,13,OK,0,OK
#1035,fakeemail001@tempmail.com,paid,unfulfilled,20500,19700,800,0,1/16/2026 1:20,Pasig,Metro Manila,PH,Surigao City,Surigao del Norte,PH,Credit Card,12,1641.67,1.619159999,OK,OK,6,FREQUENT,MISMATCH,1,ODD_HOUR,0,OK
#1036,rachel.dimaculangan@yahoo.com,paid,fulfilled,1100,950,150,0,1/17/2026 8:45,Lipa,Batangas,PH,Lipa,Batangas,PH,GCash,1,950,-0.573812814,OK,OK,1,OK,MATCH,8,OK,0,OK
#1037,kevin.ramos@gmail.com,paid,fulfilled,1550,1400,150,0,1/17/2026 14:30,Batangas City,Batangas,PH,Batangas City,Batangas,PH,Credit Card,2,700,-0.522944888,OK,OK,1,OK,MATCH,14,OK,0,OK
#1038,discount.hunter@fakemail.net,paid,fulfilled,150,1800,150,1800,1/17/2026 11:10,Cebu City,Cebu,PH,Cebu City,Cebu,PH,Credit Card,3,600,-0.681200658,OK,OK,4,FREQUENT,MATCH,11,OK,1,HIGH_DISCOUNT
#1039,suspicious.buyer99@proton.me,paid,unfulfilled,19000,18200,800,0,1/18/2026 2:35,Mandaluyong,Metro Manila,PH,Ozamiz,Misamis Occidental,PH,Credit Card,11,1654.55,1.449600246,OK,OK,4,FREQUENT,MISMATCH,2,ODD_HOUR,0,OK
#1040,michelle.santos@gmail.com,paid,fulfilled,880,780,100,0,1/18/2026 9:20,Lucena,Quezon,PH,Lucena,Quezon,PH,GCash,1,780,-0.598681578,OK,OK,1,OK,MATCH,9,OK,0,OK
#1041,benjamin.cruz@yahoo.com,paid,fulfilled,1200,1050,150,0,1/19/2026 12:00,Naga,Camarines Sur,PH,Naga,Camarines Sur,PH,PayPal,2,525,-0.562508831,OK,OK,1,OK,MATCH,12,OK,0,OK
#1042,clara.villanueva@gmail.com,paid,fulfilled,950,830,120,0,1/19/2026 15:35,Legazpi,Albay,PH,Legazpi,Albay,PH,Credit Card,1,830,-0.59076879,OK,OK,1,OK,MATCH,15,OK,0,OK
#1043,test.buyer777@mail.com,paid,unfulfilled,26000,25200,800,0,1/19/2026 4:50,San Juan,Metro Manila,PH,Dipolog,Zamboanga del Norte,PH,Credit Card,16,1575,2.240879096,SUSPICIOUS,OK,3,OK,MISMATCH,4,ODD_HOUR,0,OK
#1044,daniel.abella@outlook.com,paid,fulfilled,1400,1250,150,0,1/20/2026 10:40,Tacloban,Leyte,PH,Tacloban,Leyte,PH,Credit Card,2,625,-0.539900863,OK,OK,1,OK,MATCH,10,OK,0,OK
#1045,patricia.go@gmail.com,paid,fulfilled,680,580,100,0,1/20/2026 16:15,Ormoc,Leyte,PH,Ormoc,Leyte,PH,GCash,1,580,-0.621289545,OK,OK,1,OK,MATCH,16,OK,0,OK
#1046,discount.hunter@fakemail.net,paid,fulfilled,100,2000,100,2000,1/20/2026 13:55,Davao City,Davao del Sur,PH,Davao City,Davao del Sur,PH,Credit Card,4,500,-0.68685265,OK,OK,4,FREQUENT,MATCH,13,OK,1,HIGH_DISCOUNT
#1047,arnold.pangilinan@yahoo.com,paid,fulfilled,1650,1500,150,0,1/21/2026 9:10,Puerto Princesa,Palawan,PH,Puerto Princesa,Palawan,PH,Credit Card,2,750,-0.511640905,OK,OK,1,OK,MATCH,9,OK,0,OK
#1048,victoria.chua@gmail.com,paid,fulfilled,820,720,100,0,1/21/2026 11:50,Dumaguete,Negros Oriental,PH,Dumaguete,Negros Oriental,PH,PayPal,1,720,-0.605463968,OK,OK,1,OK,MATCH,11,OK,0,OK
#1049,fakeemail001@tempmail.com,paid,unfulfilled,24000,23200,800,0,1/21/2026 1:45,Quezon City,Metro Manila,PH,Valencia,Bukidnon,PH,Credit Card,14,1657.14,2.014799424,SUSPICIOUS,OK,6,FREQUENT,MISMATCH,1,ODD_HOUR,0,OK
#1050,tony.marquez@gmail.com,paid,fulfilled,1050,900,150,0,1/22/2026 14:25,Tagaytay,Cavite,PH,Tagaytay,Cavite,PH,GCash,1,900,-0.579464806,OK,OK,1,OK,MATCH,14,OK,0,OK
