Name,Email,Financial Status,Fulfillment Status,Total,Subtotal,Shipping,Discount Amount,Created at,Billing City,Billing Province,Billing Country,Shipping City,Shipping Province,Shipping Country,Payment Method,Lineitem quantity,Lineitem price
#1037,kevin.ramos@gmail.com,paid,fulfilled,1550.00,1400.00,150.00,0.00,2026-01-17 14:30:00,Batangas City,Batangas,PH,Batangas City,Batangas,PH,Credit Card,2,700.00
#1038,discount.hunter@fakemail.net,paid,fulfilled,150.00,1800.00,150.00,1800.00,2026-01-17 11:10:00,Cebu City,Cebu,PH,Cebu City,Cebu,PH,Credit Card,3,600.00
#1039,suspicious.buyer99@proton.me,paid,unfulfilled,19000.00,18200.00,800.00,0.00,2026-01-18 02:35:00,Mandaluyong,Metro Manila,PH,Ozamiz,Misamis Occidental,PH,Credit Card,11,1654.55
#1040,michelle.santos@gmail.com,paid,fulfilled,880.00,780.00,100.00,0.00,2026-01-18 09:20:00,Lucena,Quezon,PH,Lucena,Quezon,PH,GCash,1,780.00
#1041,benjamin.cruz@yahoo.com,paid,fulfilled,1200.00,1050.00,150.00,0.00,2026-01-19 12:00:00,Naga,Camarines Sur,PH,Naga,Camarines Sur,PH,PayPal,2,525.00
#1042,clara.villanueva@gmail.com,paid,fulfilled,950.00,830.00,120.00,0.00,2026-01-19 15:35:00,Legazpi,Albay,PH,Legazpi,Albay,PH,Credit Card,1,830.00
#1043,test.buyer777@mail.com,paid,unfulfilled,26000.00,25200.00,800.00,0.00,2026-01-19 04:50:00,San Juan,Metro Manila,PH,Dipolog,Zamboanga del Norte,PH,Credit Card,16,1575.00
#1044,daniel.abella@outlook.com,paid,fulfilled,1400.00,1250.00,150.00,0.00,2026-01-20 10:40:00,Tacloban,Leyte,PH,Tacloban,Leyte,PH,Credit Card,2,625.00
#1045,patricia.go@gmail.com,paid,fulfilled,680.00,580.00,100.00,0.00,2026-01-20 16:15:00,Ormoc,Leyte,PH,Ormoc,Leyte,PH,GCash,1,580.00
#1046,discount.hunter@fakemail.net,paid,fulfilled,100.00,2000.00,100.00,2000.00,2026-01-20 13:55:00,Davao City,Davao del Sur,PH,Davao City,Davao del Sur,PH,Credit Card,4,500.00
#1047,arnold.pangilinan@yahoo.com,paid,fulfilled,1650.00,1500.00,150.00,0.00,2026-01-21 09:10:00,Puerto Princesa,Palawan,PH,Puerto Princesa,Palawan,PH,Credit Card,2,750.00
#1048,victoria.chua@gmail.com,paid,fulfilled,820.00,720.00,100.00,0.00,2026-01-21 11:50:00,Dumaguete,Negros Oriental,PH,Dumaguete,Negros Oriental,PH,PayPal,1,720.00
#1049,fakeemail001@tempmail.com,paid,unfulfilled,24000.00,23200.00,800.00,0.00,2026-01-21 01:45:00,Quezon City,Metro Manila,PH,Valencia,Bukidnon,PH,Credit Card,14,1657.14
#1050,tony.marquez@gmail.com,paid,fulfilled,1050.00,900.00,150.00,0.00,2026-01-22 14:25:00,Tagaytay,Cavite,PH,Tagaytay,Cavite,PH,GCash,1,900.00
