student_id,first_name,last_name,gender,grade_level,section,subject,score,max_score,attendance_pct,date_enrolled,email,city,remarks
50,Julia,Mercado,Female,10,D,Filipino,81,100,83,June 26 2025,julia.m@school.com,Tagum City,
51,Aldrin,Salazar,Male,7,A,Science,72,100,76,6/27/2025,aldrin.s@school.com,Davao City,
52,Nicole,Pangilinan,female,8,B,Math,88,100,90,6/27/2025,nicole.p@school.com,Panabo City,
53,Jomar,Dizon,Male,9,C,Science,66,100,69,6/27/2025,,General Santos,
54,Alyssa,Capacillo,Female,10,,English,90,100,91.5,6/27/2025,alyssa.c@school.com,Davao City,
55,Rex,Mangubat,Male,7,A,Filipino,84,100,87.5,6/28/2025,rex.m@school.com,davao city,
56,Michelle,Dela Torre,Femal,8,B,Math,79,100,82,6/28/2025,michelle.dt@school.com,Tagum City,Gender typo
57,Lance,Borja,Male,9,C,Science,NULL,100,88,6/28/2025,lance.b@school.com,Davao City,
58,Erica,Macaraeg,Female,10,D,English,92,100,94,6/28/2025,erica.m@school.com,Panabo City,
59,Vincent,Regalado,,7,A,Filipino,70,100,73,6/29/2025,vincent.r@school.com,General Santos,
60,Janelle,Corpuz,Female,8,B,Math,83,100,85,6/29/2025,janelle.c@school.com,Davao City,
61,Darwin, Sarmiento ,Male,9,C,Science,87,100,89,6/29/2025,darwin.s@school.com,davao city,
62,Rachelle,Ignacio,Female,10,D,English,76,100,80,6/29/2025,rachelle.i@school.com,Tagum City,
63,Gerald,Natividad,Male,7,A,Math,58,100,55,6/30/2025,gerald.n@school.com,Davao City,At risk student
64,April,Manansala,Female,8,B,Science,91,100,93,6/30/2025,april.m@school.com,Panabo City,
65,Jayson,Buendia,male,9,C,Filipino,73,100,77,6/30/2025,jayson.b@school.com,General Santos,
66,Cristina,Alcantara,Female,10,D,Math,96,100,97.5,6/30/2025,cristina.a@school.com,Davao City,Top performer
67,Ronnie,Villamor,Male,7,A,Science,63,100,130,7/1/2025,ronnie.v@school.com,davao city,Attendance impossible
68,Dianne,Coronel,Female,8,B,Filipino,85,100,88,7/1/2025,,Tagum City,
69,Francis,Lacson,Male,9,C,Math,80,100,84,7/1/2025,francis.l@school.com,Davao City,
70,Bernadette,Sikat,Female,10,D,Science,89,100,91,July 01 2025,bernadette.s@school.com,Panabo City,
71,Marvin,De Guzman,Male,7,,Filipino,75,100,78.5,7/2/2025,marvin.dg@school.com,General Santos,
72,Stephanie,Macapagal,Female,8,B,Math,,100,86,7/2/2025,stephanie.m@school.com,Davao City,
73,Glenn,Oliveros,Male,9,C,Science,82,100,85,7/2/2025,glenn.o@school.com,davao city,
74,Marian,Galang,N/A,10,D,Filipino,87,100,89,7/2/2025,marian.g@school.com,Tagum City,Invalid gender
75,Dennis,  Resurreccion  ,Male,7,A,Math,71,100,74,7/3/2025,dennis.r@school.com,Davao City,
76,Cherry,Batungbakal,Female,8,B,Science,93,100,95,7/3/2025,cherry.b@school.com,Panabo City,Honor student
77,Joel,Lacsamana,Male,9,C,English,69,100,72,7/3/2025,joel.l@school.com, General Santos,
78,Lovely,Pimentel,Female,10,D,Math,84,100,86.5,6/3/2025,lovely.p@school.com,Davao City,
79,Arnold,Cunanan,Male,7,A,Science,90,100,92,7/4/2025,arnold.c@school.com,davao city,
80,Sheila,Dalisay,Female,8,B,Filipino,77,100,80,7/4/2025,sheila.d@school.com,Tagum City,
81,Philip,Guevarra,male,9,C,Math,ABSENT,100,60,7/4/2025,philip.g@school.com,Davao City,Absent during exam
82,Ivy,Mendez,Female,10,D,Science,91,100,93,7/4/2025,ivy.m@school.com,Panabo City,
83,Raymond,Fajardo,Male,7,A,English,65,100,68,7/5/2025,raymond.f@school.com,General Santos,Below average
84,Mae,Laurel,Female,8,B,Math,88,100,90.5,7/5/2025,mae.l@school.com,Davao City,
85,Christian,Cabrera,Male,9,C,Filipino,78,100,,7/5/2025,christian.c@school.com,davao city,
86,Donna,Panganiban,Female,10,D,English,86,0,88,7/5/2025,donna.p@school.com,Tagum City,Max score error
87,Emman,Salonga,Male,7,A,Math,74,100,77,7/6/2025,,Davao City,
88,Rina,  Arevalo  ,Female,8,B,Science,81,100,84,7/6/2025,rina.a@school.com,Panabo City,
89,Carlo,Magalona,Male,9,C,English,72,100,75.5,7/6/2025,carlo.m@school.com,General Santos,
90,Althea,Villegas,female,10,D,Filipino,94,100,96,7/6/2025,althea.v@school.com,Davao City,Outstanding
91,Ronnie,Villamor,Male,7,A,Science,63,100,67,7/1/2025,ronnie.v@school.com,Davao City,Duplicate of row 67
92,Joanne,Celestino,Female,8,B,Math,76,100,79,June 07 2025,joanne.c@school.com,davao city,
93,Edgar,Marasigan,Male,9,C,Science,83,100,86,7/7/2025,edgar.m@school.com,Tagum City,
94,Precious,Abad,Female,10,D,English,107,100,91,7/7/2025,precious.a@school.com,Davao City,Score exceeds max
95,Nelson,Tiangco,Male,7,A,Filipino,,100,81,7/8/2025,nelson.t@school.com,Panabo City,
96,Janine,Bello,Female,8,B,Science,85,100,88,7/8/2025,janine.b@school.com,General Santos,
97,Rodel, Magat ,male,9,C,Math,70,100,73,7/8/2025,rodel.m@school.com,Davao City,
98,Hazel,Cunanan,Female,10,D,Filipino,80,100,83.5,7/8/2025,hazel.c@school.com,davao city,
99,Jobert,Dela Rosa,,7,A,English,67,100,70,7/9/2025,jobert.dr@school.com,Tagum City,Missing gender
100,Mylene,Pagaduan,Female,8,B,Math,89,100,91,7/9/2025,mylene.p@school.com,Davao City,
