transaction_id,product,customer_name,customer_city,quantity,unit_price,sale_date,region
181,Tablet,Alice Santos,Cebu,1,-50.0,2025-03-11,Visayas
182,Tablet,,manila,6,-50.0,2025-02-13,Mindanao
183,Laptop,Alice Santos,Manila,3,-50.0,2025-11-25,Mindanao
184,headphones,alice santos,cebu,7,999.99,2025-10-28,luzon
185,Tablet,Diana Lopez,Cebu,2,499.99,2025-08-16,luzon
186,LAPTOP,Diana Lopez,Manila,2,999.99,2025-07-03,Luzon
187,Phone,Charlie Reyes,Davao,4,79.99,2025-04-17,Mindanao
188,Phone,,manila,1,999.99,2025-03-25,Visayas
189,LAPTOP,Alice Santos,Manila,3,79.99,2025-12-04,Mindanao
190,LAPTOP,Alice Santos,Cebu,9,79.99,2025-09-07,Luzon
191,LAPTOP,Frank Torres,Davao,7,299.99,2025-12-29,luzon
192,Phone,Frank Torres,,7,-50.0,2025-01-21,luzon
193,tablet,Bob Cruz,Cebu,4,79.99,2025-07-15,Luzon
194,Phone,Charlie Reyes,Cebu,2,299.99,2025-06-27,Visayas
195,headphones,Eve Garcia,Davao,4,-50.0,2025-01-07,luzon
196,Laptop,Frank Torres,Cebu,6,79.99,2025-03-11,
197,Headphones,Eve Garcia,Davao,3,79.99,2025-05-07,luzon
198,tablet,Bob Cruz,Manila,1,999.99,2025-06-09,
199,laptop,Bob Cruz,Davao,8,999.99,2025-09-05,Luzon
200,Headphones,Bob Cruz,Davao,5,-50.0,2025-07-22,Luzon
201,Laptop,,manila,5,79.99,2025-05-28,luzon
202,headphones,,Davao,4,499.99,2025-05-23,Mindanao
203,headphones,alice santos,Davao,6,999.99,2025-07-18,
204,laptop,alice santos,,3,-50.0,2025-06-03,Visayas
205,tablet,Bob Cruz,Manila,9,79.99,2025-05-22,luzon
206,LAPTOP,Charlie Reyes,manila,5,79.99,2025-11-09,Visayas
207,tablet,Alice Santos,,3,499.99,2025-06-14,luzon
208,headphones,,cebu,1,-50.0,2025-11-10,Mindanao
209,Phone,Charlie Reyes,Manila,6,79.99,2025-01-21,Mindanao
210,Laptop,Diana Lopez,Manila,2,999.99,2025-03-23,Mindanao
211,laptop,,cebu,3,499.99,2025-03-10,Mindanao
212,Laptop,,Davao,1,-50.0,2025-05-11,Luzon
213,phone,alice santos,,9,499.99,2025-03-28,Luzon
214,phone,Alice Santos,Cebu,8,999.99,2025-08-06,
215,tablet,Alice Santos,manila,2,-50.0,2025-11-01,Visayas
216,headphones,Frank Torres,Cebu,8,499.99,2025-12-11,luzon
217,headphones,Eve Garcia,cebu,9,299.99,2025-12-07,luzon
218,LAPTOP,Eve Garcia,Manila,1,999.99,2025-06-10,Luzon
219,LAPTOP,Eve Garcia,Manila,5,999.99,2025-06-27,luzon
220,LAPTOP,Eve Garcia,manila,8,999.99,2025-04-27,Luzon
221,Phone,Diana Lopez,Manila,2,299.99,2025-07-15,
222,Headphones,Diana Lopez,Manila,4,299.99,2025-11-23,Visayas
223,Tablet,,manila,7,79.99,2025-03-27,
224,Headphones,Bob Cruz,,3,499.99,2025-10-16,Mindanao
225,Laptop,alice santos,,5,79.99,2025-03-22,Mindanao
226,Headphones,alice santos,manila,8,499.99,2025-06-01,Mindanao
227,Phone,Eve Garcia,cebu,3,299.99,2025-03-02,
228,Laptop,,Manila,4,299.99,2025-03-02,luzon
229,Headphones,Frank Torres,Manila,9,79.99,2025-12-20,Visayas
230,Phone,Charlie Reyes,cebu,7,-50.0,2025-01-28,Mindanao
231,Tablet,Bob Cruz,,1,79.99,2025-02-12,Mindanao
232,Headphones,,Davao,4,499.99,2025-06-18,Mindanao
233,Phone,Bob Cruz,Davao,4,79.99,2025-03-27,Visayas
234,LAPTOP,Bob Cruz,Davao,9,999.99,2025-06-26,Mindanao
235,headphones,Bob Cruz,,6,499.99,2025-01-17,Visayas
236,LAPTOP,,,9,499.99,2025-04-08,Mindanao
237,headphones,Eve Garcia,cebu,6,-50.0,2025-07-17,
238,laptop,alice santos,Manila,6,299.99,2025-04-08,
239,laptop,alice santos,cebu,5,499.99,2025-03-06,Visayas
240,laptop,Eve Garcia,cebu,5,299.99,2025-11-26,
241,Tablet,Bob Cruz,,2,79.99,2025-12-07,Visayas
242,LAPTOP,Charlie Reyes,Davao,8,999.99,2025-01-05,
243,headphones,Alice Santos,Cebu,8,-50.0,2025-01-02,
244,Phone,,Manila,1,299.99,2025-01-22,Visayas
245,Laptop,Alice Santos,,8,499.99,2025-04-22,luzon
246,Phone,Frank Torres,Davao,5,299.99,2025-02-26,
247,Laptop,Eve Garcia,Cebu,2,499.99,2025-03-07,Mindanao
248,phone,Charlie Reyes,Cebu,2,299.99,2025-11-26,luzon
249,Phone,,,6,499.99,2025-04-08,Visayas
250,Headphones,Eve Garcia,manila,9,79.99,2025-05-24,luzon
251,Headphones,Bob Cruz,Manila,1,499.99,2025-05-05,Luzon
252,tablet,alice santos,Cebu,6,499.99,2025-06-16,Luzon
253,LAPTOP,Alice Santos,,9,999.99,2025-03-27,
254,Laptop,Diana Lopez,,8,499.99,2025-03-17,
255,Laptop,Diana Lopez,Davao,6,999.99,2025-12-10,Mindanao
256,LAPTOP,Charlie Reyes,manila,3,-50.0,2025-10-21,luzon
257,Tablet,Bob Cruz,Manila,8,999.99,2025-02-28,Luzon
258,tablet,Frank Torres,cebu,9,79.99,2025-05-18,
259,Tablet,Alice Santos,Davao,1,999.99,2025-04-09,luzon
260,Tablet,Bob Cruz,Cebu,9,-50.0,2025-07-11,
261,Tablet,Alice Santos,Cebu,6,79.99,2025-08-31,
262,LAPTOP,Charlie Reyes,Davao,6,299.99,2025-11-15,Luzon
263,Tablet,Charlie Reyes,,4,299.99,2025-02-18,Luzon
264,Headphones,Frank Torres,Cebu,1,999.99,2025-02-01,
265,laptop,Diana Lopez,manila,8,999.99,2025-10-04,Visayas
266,phone,Bob Cruz,Manila,2,-50.0,2025-01-20,
267,Laptop,,manila,1,-50.0,2025-06-03,
268,Laptop,Diana Lopez,Cebu,2,499.99,2025-03-09,Mindanao
269,phone,Bob Cruz,cebu,1,-50.0,2025-08-02,Mindanao
270,LAPTOP,Diana Lopez,Manila,1,499.99,2025-05-23,Mindanao
271,Phone,,Manila,9,79.99,2025-08-20,Visayas
272,LAPTOP,alice santos,Davao,1,999.99,2025-08-01,Visayas
273,Laptop,alice santos,Davao,4,79.99,2025-03-20,
274,Laptop,Frank Torres,cebu,6,-50.0,2025-08-02,Mindanao
275,phone,alice santos,,7,79.99,2025-04-26,Visayas
276,Tablet,alice santos,Manila,2,79.99,2025-04-02,Luzon
277,LAPTOP,Eve Garcia,cebu,6,79.99,2025-09-27,
278,headphones,Alice Santos,Davao,7,-50.0,2025-06-17,luzon
279,phone,Eve Garcia,Davao,2,79.99,2025-02-27,
280,Headphones,Eve Garcia,Manila,2,499.99,2025-10-11,luzon
281,Laptop,Frank Torres,manila,7,-50.0,2025-01-26,Mindanao
282,phone,Eve Garcia,Cebu,1,79.99,2025-03-07,luzon
283,LAPTOP,alice santos,Davao,8,-50.0,2025-09-05,Mindanao
284,Laptop,,,3,299.99,2025-09-11,Luzon
285,Phone,Frank Torres,,6,499.99,2025-02-13,luzon
286,phone,Frank Torres,Davao,9,79.99,2025-04-07,
287,tablet,Charlie Reyes,manila,6,299.99,2025-02-11,Mindanao
288,Laptop,Frank Torres,manila,9,299.99,2025-08-15,
289,LAPTOP,Charlie Reyes,cebu,7,-50.0,2025-09-19,Visayas
290,laptop,Frank Torres,,9,299.99,2025-06-16,Mindanao
291,headphones,Alice Santos,cebu,2,499.99,2025-10-06,luzon
292,Tablet,alice santos,,8,499.99,2025-03-30,Mindanao
293,LAPTOP,Frank Torres,Cebu,8,999.99,2025-06-27,
294,Headphones,alice santos,Cebu,2,499.99,2025-07-16,Luzon
295,Headphones,alice santos,Manila,4,299.99,2025-11-03,Mindanao
296,laptop,Diana Lopez,cebu,7,499.99,2025-09-24,luzon
297,Tablet,Frank Torres,Davao,4,-50.0,2025-09-25,Visayas
298,tablet,Bob Cruz,cebu,4,999.99,2025-03-15,Luzon
299,laptop,Diana Lopez,Davao,6,299.99,2025-01-08,Visayas
300,laptop,Bob Cruz,manila,6,999.99,2025-10-24,Mindanao
301,Laptop,alice santos,cebu,3,299.99,2025-06-13,
302,Headphones,alice santos,manila,9,-50.0,2025-03-26,
303,Laptop,Diana Lopez,Cebu,2,999.99,2025-03-13,luzon
304,headphones,Diana Lopez,Cebu,6,79.99,2025-02-24,
305,Tablet,Bob Cruz,Manila,7,299.99,2025-02-16,Luzon
306,tablet,Charlie Reyes,cebu,9,79.99,2025-08-26,
307,tablet,Bob Cruz,manila,3,999.99,2025-04-14,luzon
308,LAPTOP,Diana Lopez,Davao,3,79.99,2025-07-29,Mindanao
309,laptop,,Cebu,7,79.99,2025-02-11,Mindanao
310,headphones,Diana Lopez,Cebu,4,999.99,2025-11-12,
311,Headphones,,Davao,8,-50.0,2025-09-25,Visayas
312,tablet,Alice Santos,manila,7,79.99,2025-09-20,Mindanao
313,headphones,Diana Lopez,manila,5,79.99,2025-12-02,
314,Phone,Alice Santos,cebu,7,-50.0,2025-12-31,luzon
315,Phone,Charlie Reyes,cebu,3,79.99,2025-09-16,
316,Laptop,Bob Cruz,,2,79.99,2025-10-10,Mindanao
317,Headphones,,,6,79.99,2025-04-24,luzon
318,LAPTOP,Bob Cruz,Manila,2,499.99,2025-12-29,
319,tablet,Alice Santos,Cebu,3,-50.0,2025-02-09,Luzon
320,laptop,,cebu,6,79.99,2025-08-08,luzon
321,laptop,Bob Cruz,manila,5,-50.0,2025-05-09,Luzon
322,tablet,Diana Lopez,Davao,8,299.99,2025-01-08,Visayas
323,Tablet,alice santos,manila,9,299.99,2025-04-11,luzon
324,LAPTOP,Alice Santos,Cebu,3,79.99,2025-06-25,Luzon
325,headphones,Bob Cruz,,3,-50.0,2025-04-17,Mindanao
326,Tablet,Alice Santos,manila,3,-50.0,2025-04-11,Mindanao
327,Tablet,Eve Garcia,Manila,6,-50.0,2025-09-17,Visayas
328,Laptop,Alice Santos,Cebu,1,499.99,2025-09-03,luzon
329,Phone,,,7,299.99,2025-10-02,luzon
330,Tablet,Eve Garcia,Davao,1,-50.0,2025-02-01,luzon
331,Tablet,Frank Torres,,5,-50.0,2025-05-17,Visayas
332,phone,,Manila,8,499.99,2025-01-12,luzon
333,Laptop,alice santos,Cebu,4,499.99,2025-10-29,Mindanao
334,Headphones,Eve Garcia,Davao,5,-50.0,2025-01-16,Luzon
335,phone,Frank Torres,Manila,4,999.99,2025-05-09,Mindanao
336,phone,Diana Lopez,,4,-50.0,2025-03-04,Mindanao
337,tablet,Alice Santos,Manila,8,-50.0,2025-04-19,Luzon
338,Phone,Bob Cruz,Cebu,2,499.99,2025-01-21,Mindanao
339,Tablet,Charlie Reyes,cebu,1,499.99,2025-06-07,Visayas
340,Phone,Alice Santos,Manila,3,-50.0,2025-09-26,Luzon
341,LAPTOP,Frank Torres,Manila,9,-50.0,2025-06-11,Mindanao
342,tablet,Alice Santos,,4,-50.0,2025-09-17,
343,Headphones,alice santos,,5,499.99,2025-04-12,Mindanao
344,Phone,Diana Lopez,Davao,2,-50.0,2025-08-11,Visayas
345,laptop,Charlie Reyes,,4,-50.0,2025-02-28,luzon
346,LAPTOP,Eve Garcia,manila,2,79.99,2025-09-04,Mindanao
347,Laptop,Eve Garcia,Cebu,2,999.99,2025-05-08,luzon
348,Headphones,Eve Garcia,Cebu,4,299.99,2025-10-10,
349,LAPTOP,Frank Torres,cebu,6,999.99,2025-11-21,Mindanao
350,tablet,,cebu,7,79.99,2025-01-25,Luzon
351,phone,,Cebu,3,299.99,2025-05-11,luzon
352,phone,Bob Cruz,cebu,3,-50.0,2025-12-19,
353,tablet,Charlie Reyes,Davao,6,79.99,2025-07-15,Luzon
354,headphones,Eve Garcia,,3,-50.0,2025-10-08,Luzon
355,phone,,Cebu,2,499.99,2025-06-03,Luzon
356,Laptop,Frank Torres,cebu,8,79.99,2025-05-13,Luzon
357,Laptop,Bob Cruz,Cebu,5,499.99,2025-08-15,Mindanao
358,laptop,Diana Lopez,manila,1,79.99,2025-07-08,Mindanao
359,Tablet,Bob Cruz,Manila,3,79.99,2025-09-22,Mindanao
360,headphones,,,8,499.99,2025-05-14,
361,Headphones,alice santos,Cebu,4,299.99,2025-07-30,
362,phone,Frank Torres,Manila,7,999.99,2025-03-01,
363,Laptop,alice santos,cebu,2,-50.0,2025-12-30,Visayas
364,tablet,Eve Garcia,Manila,7,79.99,2025-12-30,
365,phone,alice santos,,5,-50.0,2025-08-01,Mindanao
366,Tablet,Eve Garcia,Cebu,5,499.99,2025-08-04,Mindanao
367,tablet,Eve Garcia,manila,6,-50.0,2025-08-14,Visayas
368,LAPTOP,,cebu,9,499.99,2025-05-11,Visayas
369,LAPTOP,alice santos,Cebu,6,-50.0,2025-03-17,
370,phone,Eve Garcia,,8,999.99,2025-10-13,luzon
371,Tablet,Charlie Reyes,cebu,7,999.99,2025-10-04,Visayas
372,headphones,Diana Lopez,Davao,9,999.99,2025-06-05,Luzon
373,phone,Bob Cruz,Manila,4,999.99,2025-09-05,Mindanao
374,Laptop,Bob Cruz,,2,999.99,2025-08-06,Luzon
375,Phone,,Davao,7,999.99,2025-07-09,Mindanao
376,phone,alice santos,Cebu,6,499.99,2025-06-12,Mindanao
377,phone,alice santos,manila,1,79.99,2025-06-29,Visayas
378,tablet,Eve Garcia,cebu,9,-50.0,2025-02-03,Visayas
379,Phone,Frank Torres,Manila,9,999.99,2025-02-10,Luzon
380,Laptop,Alice Santos,cebu,2,499.99,2025-11-03,Mindanao
381,phone,Eve Garcia,Cebu,3,499.99,2025-12-04,Luzon
382,tablet,Diana Lopez,cebu,5,499.99,2025-11-10,luzon
383,Tablet,Charlie Reyes,Manila,5,79.99,2025-03-16,Luzon
384,phone,Bob Cruz,Cebu,1,-50.0,2025-10-06,
385,Phone,Eve Garcia,cebu,8,79.99,2025-06-25,Luzon
386,laptop,Alice Santos,manila,8,299.99,2025-05-30,
387,Phone,Alice Santos,,4,499.99,2025-09-30,
388,LAPTOP,Eve Garcia,Cebu,7,299.99,2025-11-21,
389,Laptop,,,3,999.99,2025-04-18,luzon
390,Headphones,Bob Cruz,Cebu,6,999.99,2025-05-19,Luzon
391,phone,,manila,9,79.99,2025-12-16,Luzon
392,Phone,Charlie Reyes,,1,-50.0,2025-09-28,luzon
393,Headphones,Alice Santos,Davao,5,299.99,2025-12-13,Mindanao
394,tablet,Alice Santos,Manila,4,-50.0,2025-10-16,Visayas
395,laptop,Diana Lopez,Davao,8,79.99,2025-07-31,Luzon
396,Laptop,Charlie Reyes,cebu,1,999.99,2025-09-29,Visayas
397,Phone,Alice Santos,manila,9,-50.0,2025-03-07,luzon
398,Headphones,Charlie Reyes,Davao,6,-50.0,2025-09-05,Mindanao
399,laptop,Bob Cruz,Cebu,4,999.99,2025-06-05,Mindanao
400,LAPTOP,alice santos,cebu,9,299.99,2025-02-16,Mindanao
401,Laptop,Alice Santos,cebu,5,999.99,2025-07-20,luzon
402,Laptop,Diana Lopez,Davao,5,-50.0,2025-05-28,
403,LAPTOP,Bob Cruz,Davao,5,299.99,2025-05-04,
404,phone,Eve Garcia,manila,1,299.99,2025-01-01,Visayas
405,LAPTOP,Charlie Reyes,Manila,1,999.99,2025-09-04,
406,Laptop,Eve Garcia,Davao,8,-50.0,2025-12-09,
407,Laptop,,Davao,8,79.99,2025-05-08,Mindanao
408,Headphones,Bob Cruz,,6,-50.0,2025-07-10,Mindanao
